Category,Message
ham,Do well :)all will for little time. Thing of good times ahead:
ham,You do got a shitload of diamonds though
ham,Thank you. I like you as well...
ham,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3."
spam,Congratulations! You've won a sony! Call now on 08646820794 to claim!
ham,I'm going 2 orchard now laready me reaching soon. U reaching?
spam,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p
ham,Gokila is talking with you aha:)
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
spam,Special offer! CASH awaits you! Reply YES to join now!
ham,U're welcome... Caught u using broken english again...
spam,WINNER! Claim your claim worth £427! Reply YES to join now!
spam,"WINNER! Claim your claim worth £482! Hurry, offer ends soon! Call 09418044300."
spam,Exclusive voucher offer! Get your free holiday now! Call now on 08997913268 to claim!
ham,7 at esplanade.. Do Ã¼ mind giving me a lift cos i got no car today..
spam,WINNER! Claim your nokia worth £739! Call now on 09839327550 to claim!
spam,#ERROR!
spam,Get your xbox today! Text 6FVU to 08049139719 for a chance to win £853!
ham,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...
ham,"Sorry battery died, yeah I'm here"
spam,Special offer! CONGRATULATIONS awaits you! Text WIN to 09118262665 for your chance to win!
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
spam,Free membership! Subscribe now to get your reward! Text WIN to 08667316385 for your chance to win!
ham,Only saturday and sunday holiday so its very difficult:)
spam,Congratulations! You've won a winner! Visit www.mobiledeals.biz to claim your prize!
ham,No current and food here. I am alone also
ham,I'm already back home so no probably not
spam,Get your subscribe today! Text NT7L to 09316101368 for a chance to win £831!
spam,"Free deal! Subscribe now to get your reward! Hurry, offer ends soon! Call 09623779891."
ham,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
spam,"Exclusive nokia offer! Get your free phone now! Hurry, offer ends soon! Call 08764512561."
spam,You've been selected for a special! Call 08856641741 to claim now! T&Cs apply.
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
ham,"Did you say bold, then torch later. Or one torch and 2bold?"
spam,Congratulations! You've won a sony! Call now on 08201355511 to claim!
ham,Now project pa. After that only i can come.
spam,Free bonus! Subscribe now to get your reward! Text WIN to 09289090604 for your chance to win!
ham,"not that I know of, most people up here are still out of town"
